location,latitude,longitude
"Sonia Vihar, Delhi - DPCC",28.710508,77.249485
"Vivek Vihar, Delhi - DPCC",28.672342,77.31526
"Okhla Phase-2, Delhi - DPCC",28.530785,77.271255
"NSIT Dwarka, Delhi - CPCB",28.60909,77.0325413
"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829
"Ashok Vihar, Delhi - DPCC",28.695381,77.181665
"Anand Vihar, Delhi - DPCC",28.646835,77.316032
"Mundka, Delhi - DPCC",28.684678,77.076574
"Narela, Delhi - DPCC",28.822836,77.101981
"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156
"Patparganj, Delhi - DPCC",28.623748,77.287205
"Alipur, Delhi - DPCC",28.815329,77.15301
"Mandir Marg, Delhi - DPCC",28.636429,77.201067
"Nehru Nagar, Delhi - DPCC",28.56789,77.250515
"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484
"Bawana, Delhi - DPCC",28.7762,77.051074
"Pusa, Delhi - IMD",28.639645,77.146263
"CRRI Mathura Road, Delhi - IMD",28.5512005,77.2735737
"North Campus, DU, Delhi - IMD",28.6573814,77.1585447
"IHBAS, Dilshad Garden, Delhi - CPCB",28.6811736,77.3025234
"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738
"Rohini, Delhi - DPCC",28.732528,77.11992
"Jahangirpuri, Delhi - DPCC",28.73282,77.170633
"Shadipur, Delhi - CPCB",28.6514781,77.1473105
"Lodhi Road, Delhi - IMD",28.5918245,77.2273074
US Diplomatic Post: New Delhi,28.63576,77.22445
"R K Puram, Delhi - DPCC",28.674045,77.131023
"Wazirpur, Delhi - DPCC",28.699793,77.165453
"Punjabi Bagh, Delhi - DPCC",28.563262,77.186937
"DTU, Delhi - CPCB",28.7500499,77.1112615
"Sirifort, Delhi - CPCB",28.5504249,77.2159377
"Dwarka-Sector 8, Delhi - DPCC ",28.5710274,77.0719006
"Najafgarh, Delhi - DPCC",28.570173,76.933762
"ITO, Delhi - CPCB",28.6316945,77.2494387
"Aya Nagar, Delhi - IMD",28.4706914,77.1099364
"IGI Airport (T3), Delhi - IMD",28.5627763,77.1180053
"Burari Crossing, Delhi - IMD",28.7256504,77.2011573
