,location,latitude,longitude,cluster
0,"Sonia Vihar, Delhi - DPCC",28.710508,77.24948499999999,0.0
1,"Vivek Vihar, Delhi - DPCC",28.672341999999997,77.31526,1.0
2,"Okhla Phase-2, Delhi - DPCC",28.530784999999998,77.27125500000001,1.0
3,"NSIT Dwarka, Delhi - CPCB",28.609090000000002,77.03254129999999,0.0
4,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829,1.0
5,"Ashok Vihar, Delhi - DPCC",28.695381,77.181665,2.0
6,"Mundka, Delhi - DPCC",28.684678,77.076574,2.0
7,"Narela, Delhi - DPCC",28.822836,77.10198100000001,0.0
8,"Sri Aurobindo Marg, Delhi - DPCC",28.531346000000003,77.190156,0.0
9,"Patparganj, Delhi - DPCC",28.623748,77.287205,1.0
10,"Alipur, Delhi - DPCC",28.815329,77.15301,0.0
11,"Mandir Marg, Delhi - DPCC",28.636428999999996,77.20106700000001,0.0
12,"Nehru Nagar, Delhi - DPCC",28.567890000000002,77.25051500000001,2.0
13,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571000000002,77.26484,1.0
14,"Bawana, Delhi - DPCC",28.7762,77.051074,2.0
15,"CRRI Mathura Road, Delhi - IMD",28.5512005,77.27357370000001,1.0
16,"IHBAS, Dilshad Garden, Delhi - CPCB",28.681173600000005,77.30252340000001,0.0
17,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611280999999998,77.23773800000001,0.0
18,"Rohini, Delhi - DPCC",28.732528000000002,77.11992,2.0
19,"Jahangirpuri, Delhi - DPCC",28.73282,77.170633,2.0
20,"Shadipur, Delhi - CPCB",28.651478100000002,77.1473105,0.0
21,"Lodhi Road, Delhi - IMD",28.5918245,77.2273074,0.0
22,US Diplomatic Post: New Delhi,28.635759999999998,77.22445,1.0
23,"R K Puram, Delhi - DPCC",28.674045,77.131023,0.0
24,"Wazirpur, Delhi - DPCC",28.699793,77.165453,2.0
25,"Punjabi Bagh, Delhi - DPCC",28.563261999999998,77.186937,1.0
26,"DTU, Delhi - CPCB",28.7500499,77.1112615,2.0
27,"Dwarka-Sector 8, Delhi - DPCC ",28.5710274,77.07190059999999,1.0
28,"Najafgarh, Delhi - DPCC",28.570172999999997,76.933762,0.0
29,"ITO, Delhi - CPCB",28.631694500000002,77.2494387,1.0
30,"Aya Nagar, Delhi - IMD",28.4706914,77.10993640000001,0.0
31,"IGI Airport (T3), Delhi - IMD",28.562776300000003,77.1180053,0.0
